produto,valor,unidade
Soja,29.178.088,Mil Reais
Arroz,10.989.888,Mil Reais
Trigo,7.658.810,Mil Reais
Milho em grão,4.607.237,Mil Reais
Fumo,4.028.551,Mil Reais
Uva,1.227.459,Mil Reais
Mandioca,1.095.215,Mil Reais
Aveia branca,950.661,Mil Reais
Maçã,716.313,Mil Reais
Batata,641.107,Mil Reais
Laranja,369.360,Mil Reais
Banana,331.577,Mil Reais
Tangerina,306.250,Mil Reais
Tomate,289.686,Mil Reais
Erva-mate (cultivo),263.988,Mil Reais
Pêssego,245.685,Mil Reais
Feijão,244.938,Mil Reais
Cevada,244.938,Mil Reais
Cebola,207.081,Mil Reais
Melancia,165.136,Mil Reais
Alho,137.079,Mil Reais
Cana-de-açúcar,97.996,Mil Reais
Caqui,87.310,Mil Reais
Noz,63.534,Mil Reais
Limão,33.996,Mil Reais
Melão,25.833,Mil Reais
Figo,25.046,Mil Reais
Triticale,22.374,Mil Reais
Pera,19.689,Mil Reais
Linho (semente),13.850,Mil Reais
Azeitona,12.305,Mil Reais
Amendoim,11.316,Mil Reais
Maracujá,11.074,Mil Reais
Goiaba,10.913,Mil Reais
Abacaxi,10.784,Mil Reais
Abacate,10.343,Mil Reais
Girassol (em grão),7.240,Mil Reais
Sorgo,3.908,Mil Reais
Centeio,3.166,Mil Reais
Mamão,1.947,Mil Reais
Manga,1.829,Mil Reais
Ervilha em grão,496,Mil Reais
Marmelo,156,Mil Reais
Fava,75,Mil Reais
Fonte: IBGE - PAM
,,
